model_type,seed,accuracy,zero_weight_percentage
baseline,10,0.9014,0.0
baseline,20,0.9,0.0
baseline,30,0.9051,0.0
baseline,40,0.9045,0.0
baseline,50,0.903,0.0
baseline,60,0.9022,0.0
baseline,70,0.9022,0.0
baseline,80,0.9013,0.0
baseline,90,0.9063,0.0
baseline,100,0.9021,0.0
prune_0.2,10,0.9071,19.973631555217388
prune_0.2,20,0.91,19.973631555217388
prune_0.2,30,0.9086,19.973631555217388
prune_0.2,40,0.9076,19.973631555217388
prune_0.2,50,0.9057,19.973631555217388
prune_0.2,60,0.9046,19.973631555217388
prune_0.2,70,0.905,19.973631555217388
prune_0.2,80,0.9009,19.973631555217388
prune_0.2,90,0.9105,19.973631555217388
prune_0.2,100,0.9068,19.973631555217388
prune_0.4,10,0.9009,39.94727205981191
prune_0.4,20,0.9104,39.94727205981191
prune_0.4,30,0.9117,39.94727205981191
prune_0.4,40,0.9106,39.94727205981191
prune_0.4,50,0.9025,39.94727205981191
prune_0.4,60,0.9118,39.94727205981191
prune_0.4,70,0.9085,39.94727205981191
prune_0.4,80,0.9084,39.94727205981191
prune_0.4,90,0.9132,39.94727205981191
prune_0.4,100,0.9102,39.94727205981191
prune_0.6,10,0.9062,59.920903615029296
prune_0.6,20,0.9095,59.920903615029296
prune_0.6,30,0.9121,59.920903615029296
prune_0.6,40,0.913,59.920903615029296
prune_0.6,50,0.9067,59.920903615029296
prune_0.6,60,0.9124,59.920903615029296
prune_0.6,70,0.9098,59.920903615029296
prune_0.6,80,0.9139,59.920903615029296
prune_0.6,90,0.9133,59.920903615029296
prune_0.6,100,0.9127,59.920903615029296
prune_0.7,10,0.9052,69.90771939263799
prune_0.7,20,0.9082,69.90771939263799
prune_0.7,30,0.9132,69.90771939263799
prune_0.7,40,0.9124,69.90771939263799
prune_0.7,50,0.9078,69.90771939263799
prune_0.7,60,0.9136,69.90771939263799
prune_0.7,70,0.9099,69.90771939263799
prune_0.7,80,0.915,69.90771939263799
prune_0.7,90,0.9117,69.90771939263799
prune_0.7,100,0.9142,69.90771939263799
prune_0.75,10,0.9054,74.90113175613091
prune_0.75,20,0.9089,74.90113175613091
prune_0.75,30,0.9135,74.90113175613091
prune_0.75,40,0.9173,74.90113175613091
prune_0.75,50,0.9092,74.90113175613091
prune_0.75,60,0.9146,74.90113175613091
prune_0.75,70,0.9105,74.90113175613091
prune_0.75,80,0.9143,74.90113175613091
prune_0.75,90,0.9142,74.90113175613091
prune_0.75,100,0.9135,74.90113175613091
prune_0.8,10,0.9075,79.89454411962382
prune_0.8,20,0.9083,79.89454411962382
prune_0.8,30,0.9103,79.89454411962382
prune_0.8,40,0.9138,79.89454411962382
prune_0.8,50,0.913,79.89454411962382
prune_0.8,60,0.9103,79.89454411962382
prune_0.8,70,0.9062,79.89454411962382
prune_0.8,80,0.9124,79.89454411962382
prune_0.8,90,0.914,79.89454411962382
prune_0.8,100,0.9117,79.89454411962382
prune_0.85,10,0.9062,84.8879475337396
prune_0.85,20,0.9041,84.8879475337396
prune_0.85,30,0.9135,84.8879475337396
prune_0.85,40,0.912,84.8879475337396
prune_0.85,50,0.9138,84.8879475337396
prune_0.85,60,0.9115,84.8879475337396
prune_0.85,70,0.9066,84.8879475337396
prune_0.85,80,0.9105,84.8879475337396
prune_0.85,90,0.9159,84.8879475337396
prune_0.85,100,0.9117,84.8879475337396
prune_0.9,10,0.9064,89.88135989723251
prune_0.9,20,0.906,89.88135989723251
prune_0.9,30,0.9018,89.88135989723251
prune_0.9,40,0.9054,89.88135989723251
prune_0.9,50,0.9056,89.88135989723251
prune_0.9,60,0.909,89.88135989723251
prune_0.9,70,0.9089,89.88135989723251
prune_0.9,80,0.9062,89.88135989723251
prune_0.9,90,0.9104,89.88135989723251
prune_0.9,100,0.909,89.88135989723251
