model_type,seed,accuracy,zero_weight_percentage
baseline,10,0.9906,0.0
baseline,20,0.99,0.0
baseline,30,0.9908,0.0
baseline,40,0.9911,0.0
baseline,50,0.9901,0.0
baseline,60,0.99,0.0
baseline,70,0.9906,0.0
baseline,80,0.9906,0.0
baseline,90,0.992,0.0
baseline,100,0.9902,0.0
prune_0.2,10,0.9924,19.683012032604474
prune_0.2,20,0.9921,19.683012032604474
prune_0.2,30,0.9912,19.683012032604474
prune_0.2,40,0.9901,19.683012032604474
prune_0.2,50,0.9911,19.683012032604474
prune_0.2,60,0.9905,19.683012032604474
prune_0.2,70,0.9917,19.683012032604474
prune_0.2,80,0.9917,19.683012032604474
prune_0.2,90,0.9925,19.683012032604474
prune_0.2,100,0.9925,19.683012032604474
prune_0.4,10,0.9932,39.36602406520895
prune_0.4,20,0.9904,39.36602406520895
prune_0.4,30,0.9905,39.36602406520895
prune_0.4,40,0.9917,39.36602406520895
prune_0.4,50,0.9927,39.36602406520895
prune_0.4,60,0.991,39.36602406520895
prune_0.4,70,0.99,39.36602406520895
prune_0.4,80,0.9928,39.36602406520895
prune_0.4,90,0.9932,39.36602406520895
prune_0.4,100,0.9929,39.36602406520895
prune_0.6,10,0.9935,59.04774226937508
prune_0.6,20,0.991,59.04774226937508
prune_0.6,30,0.9923,59.04774226937508
prune_0.6,40,0.992,59.04774226937508
prune_0.6,50,0.9929,59.04774226937508
prune_0.6,60,0.992,59.04774226937508
prune_0.6,70,0.992,59.04774226937508
prune_0.6,80,0.9934,59.04774226937508
prune_0.6,90,0.9931,59.04774226937508
prune_0.6,100,0.993,59.04774226937508
prune_0.7,10,0.9937,68.8898951998965
prune_0.7,20,0.9913,68.8898951998965
prune_0.7,30,0.9922,68.8898951998965
prune_0.7,40,0.9918,68.8898951998965
prune_0.7,50,0.9933,68.8898951998965
prune_0.7,60,0.9909,68.8898951998965
prune_0.7,70,0.9915,68.8898951998965
prune_0.7,80,0.9934,68.8898951998965
prune_0.7,90,0.9928,68.8898951998965
prune_0.7,100,0.9939,68.8898951998965
prune_0.75,10,0.9924,73.81032475093802
prune_0.75,20,0.9912,73.81032475093802
prune_0.75,30,0.9914,73.81032475093802
prune_0.75,40,0.9919,73.81032475093802
prune_0.75,50,0.9923,73.81032475093802
prune_0.75,60,0.9906,73.81032475093802
prune_0.75,70,0.9913,73.81032475093802
prune_0.75,80,0.9927,73.81032475093802
prune_0.75,90,0.9925,73.81032475093802
prune_0.75,100,0.9934,73.81032475093802
prune_0.8,10,0.9913,78.73075430197956
prune_0.8,20,0.9907,78.73075430197956
prune_0.8,30,0.9906,78.73075430197956
prune_0.8,40,0.9915,78.73075430197956
prune_0.8,50,0.993,78.73075430197956
prune_0.8,60,0.9907,78.73075430197956
prune_0.8,70,0.9901,78.73075430197956
prune_0.8,80,0.9919,78.73075430197956
prune_0.8,90,0.9908,78.73075430197956
prune_0.8,100,0.993,78.73075430197956
prune_0.85,10,0.991,83.65118385302108
prune_0.85,20,0.9906,83.65118385302108
prune_0.85,30,0.9914,83.65118385302108
prune_0.85,40,0.9903,83.65118385302108
prune_0.85,50,0.9919,83.65118385302108
prune_0.85,60,0.9901,83.65118385302108
prune_0.85,70,0.9909,83.65118385302108
prune_0.85,80,0.9906,83.65118385302108
prune_0.85,90,0.9911,83.65118385302108
prune_0.85,100,0.991,83.65118385302108
prune_0.9,10,0.9905,88.57290723250098
prune_0.9,20,0.99,88.57290723250098
prune_0.9,30,0.9901,88.57290723250098
prune_0.9,40,0.9903,88.57290723250098
prune_0.9,50,0.9903,88.57290723250098
prune_0.9,60,0.99,88.57290723250098
prune_0.9,70,0.9903,88.57290723250098
prune_0.9,80,0.9901,88.57290723250098
prune_0.9,90,0.9907,88.57290723250098
prune_0.9,100,0.9905,88.57290723250098
