file_name,dataset,model_type,seed,epsilon,verifier,property,result
MNIST_0.007_1078.out,MNIST,prune_0.2,10,0.007,abc,78,0
MNIST_0.006_6601.out,MNIST,prune_0.8,70,0.006,abc,1,1
MNIST_0.006_8786.out,MNIST,prune_0.9,80,0.006,abc,86,1
MNIST_0.008_3061.out,MNIST,prune_0.6,10,0.008,abc,61,1
MNIST_0.008_8923.out,MNIST,prune_0.9,100,0.008,abc,23,0
MNIST_0.008_8978.out,MNIST,prune_0.9,100,0.008,abc,78,0
MNIST_0.008_4078.out,MNIST,prune_0.7,10,0.008,abc,78,0
MNIST_0.008_7039.out,MNIST,prune_0.85,10,0.008,abc,39,0
MNIST_0.008_8886.out,MNIST,prune_0.9,90,0.008,abc,86,0
MNIST_0.006_5250.out,MNIST,prune_0.75,30,0.006,abc,50,1
MNIST_0.007_411.out,MNIST,baseline,50,0.007,abc,11,1
MNIST_0.007_4.out,MNIST,baseline,10,0.007,abc,4,1
MNIST_0.006_7215.out,MNIST,prune_0.85,30,0.006,abc,15,1
MNIST_0.006_453.out,MNIST,baseline,50,0.006,abc,53,1
MNIST_0.007_6877.out,MNIST,prune_0.8,90,0.007,abc,77,0
MNIST_0.007_4897.out,MNIST,prune_0.7,90,0.007,abc,97,0
MNIST_0.007_8580.out,MNIST,prune_0.9,60,0.007,abc,80,0
MNIST_0.007_5689.out,MNIST,prune_0.75,70,0.007,abc,89,0
MNIST_0.007_6438.out,MNIST,prune_0.8,50,0.007,abc,38,0
MNIST_0.007_2797.out,MNIST,prune_0.4,80,0.007,abc,97,1
MNIST_0.008_3337.out,MNIST,prune_0.6,40,0.008,abc,37,0
MNIST_0.006_5019.out,MNIST,prune_0.75,10,0.006,abc,19,1
MNIST_0.008_1902.out,MNIST,prune_0.2,100,0.008,abc,2,0
MNIST_0.008_3990.out,MNIST,prune_0.6,100,0.008,abc,90,1
MNIST_0.006_1035.out,MNIST,prune_0.2,10,0.006,abc,35,1
MNIST_0.008_1992.out,MNIST,prune_0.2,100,0.008,abc,92,0
MNIST_0.006_8408.out,MNIST,prune_0.9,50,0.006,abc,8,0
MNIST_0.006_7312.out,MNIST,prune_0.85,40,0.006,abc,12,1
MNIST_0.008_2736.out,MNIST,prune_0.4,80,0.008,abc,36,0
MNIST_0.008_1088.out,MNIST,prune_0.2,10,0.008,abc,88,1
MNIST_0.008_2865.out,MNIST,prune_0.4,90,0.008,abc,65,0
MNIST_0.007_8086.out,MNIST,prune_0.9,10,0.007,abc,86,0
MNIST_0.006_330.out,MNIST,baseline,40,0.006,abc,30,1
MNIST_0.007_5872.out,MNIST,prune_0.75,90,0.007,abc,72,1
MNIST_0.008_1606.out,MNIST,prune_0.2,70,0.008,abc,6,0
MNIST_0.008_7081.out,MNIST,prune_0.85,10,0.008,abc,81,0
MNIST_0.007_7689.out,MNIST,prune_0.85,70,0.007,abc,89,0
MNIST_0.008_4164.out,MNIST,prune_0.7,20,0.008,abc,64,1
MNIST_0.008_3910.out,MNIST,prune_0.6,100,0.008,abc,10,1
MNIST_0.008_6664.out,MNIST,prune_0.8,70,0.008,abc,64,1
MNIST_0.008_6916.out,MNIST,prune_0.8,100,0.008,abc,16,0
MNIST_0.006_3901.out,MNIST,prune_0.6,100,0.006,abc,1,1
MNIST_0.008_7332.out,MNIST,prune_0.85,40,0.008,abc,32,0
MNIST_0.007_4092.out,MNIST,prune_0.7,10,0.007,abc,92,0
MNIST_0.008_2684.out,MNIST,prune_0.4,70,0.008,abc,84,1
MNIST_0.006_5381.out,MNIST,prune_0.75,40,0.006,abc,81,1
MNIST_0.008_1620.out,MNIST,prune_0.2,70,0.008,abc,20,0
MNIST_0.007_3985.out,MNIST,prune_0.6,100,0.007,abc,85,1
MNIST_0.007_8349.out,MNIST,prune_0.9,40,0.007,abc,49,0
MNIST_0.006_2935.out,MNIST,prune_0.4,100,0.006,abc,35,1
MNIST_0.006_2894.out,MNIST,prune_0.4,90,0.006,abc,94,1
MNIST_0.006_8998.out,MNIST,prune_0.9,100,0.006,abc,98,1
MNIST_0.006_4231.out,MNIST,prune_0.7,30,0.006,abc,31,1
MNIST_0.008_3401.out,MNIST,prune_0.6,50,0.008,abc,1,1
MNIST_0.006_260.out,MNIST,baseline,30,0.006,abc,60,1
MNIST_0.006_3343.out,MNIST,prune_0.6,40,0.006,abc,43,1
MNIST_0.007_5236.out,MNIST,prune_0.75,30,0.007,abc,36,1
MNIST_0.008_7558.out,MNIST,prune_0.85,60,0.008,abc,58,1
MNIST_0.007_4678.out,MNIST,prune_0.7,70,0.007,abc,78,0
MNIST_0.007_3745.out,MNIST,prune_0.6,80,0.007,abc,45,1
MNIST_0.006_1497.out,MNIST,prune_0.2,50,0.006,abc,97,1
MNIST_0.008_8382.out,MNIST,prune_0.9,40,0.008,abc,82,0
MNIST_0.007_7921.out,MNIST,prune_0.85,100,0.007,abc,21,0
MNIST_0.006_1892.out,MNIST,prune_0.2,90,0.006,abc,92,1
MNIST_0.006_8298.out,MNIST,prune_0.9,30,0.006,abc,98,1
MNIST_0.008_5007.out,MNIST,prune_0.75,10,0.008,abc,7,0
MNIST_0.008_7167.out,MNIST,prune_0.85,20,0.008,abc,67,0
MNIST_0.006_4723.out,MNIST,prune_0.7,80,0.006,abc,23,1
MNIST_0.007_8561.out,MNIST,prune_0.9,60,0.007,abc,61,1
MNIST_0.008_7341.out,MNIST,prune_0.85,40,0.008,abc,41,0
MNIST_0.006_7042.out,MNIST,prune_0.85,10,0.006,abc,42,1
MNIST_0.008_876.out,MNIST,baseline,90,0.008,abc,76,0
MNIST_0.006_721.out,MNIST,baseline,80,0.006,abc,21,1
MNIST_0.006_5379.out,MNIST,prune_0.75,40,0.006,abc,79,0
MNIST_0.008_1511.out,MNIST,prune_0.2,60,0.008,abc,11,1
MNIST_0.008_825.out,MNIST,baseline,90,0.008,abc,25,1
MNIST_0.008_7924.out,MNIST,prune_0.85,100,0.008,abc,24,0
MNIST_0.006_4906.out,MNIST,prune_0.7,100,0.006,abc,6,1
MNIST_0.007_435.out,MNIST,baseline,50,0.007,abc,35,1
MNIST_0.007_5726.out,MNIST,prune_0.75,80,0.007,abc,26,0
MNIST_0.007_2641.out,MNIST,prune_0.4,70,0.007,abc,41,0
MNIST_0.007_468.out,MNIST,baseline,50,0.007,abc,68,1
MNIST_0.006_2261.out,MNIST,prune_0.4,30,0.006,abc,61,1
MNIST_0.006_8243.out,MNIST,prune_0.9,30,0.006,abc,43,0
MNIST_0.008_5104.out,MNIST,prune_0.75,20,0.008,abc,4,0
MNIST_0.006_1680.out,MNIST,prune_0.2,70,0.006,abc,80,1
MNIST_0.008_2110.out,MNIST,prune_0.4,20,0.008,abc,10,1
MNIST_0.007_5250.out,MNIST,prune_0.75,30,0.007,abc,50,1
MNIST_0.006_5212.out,MNIST,prune_0.75,30,0.006,abc,12,1
MNIST_0.008_8548.out,MNIST,prune_0.9,60,0.008,abc,48,0
MNIST_0.008_846.out,MNIST,baseline,90,0.008,abc,46,0
MNIST_0.007_2269.out,MNIST,prune_0.4,30,0.007,abc,69,1
MNIST_0.007_3802.out,MNIST,prune_0.6,90,0.007,abc,2,0
MNIST_0.008_430.out,MNIST,baseline,50,0.008,abc,30,1
MNIST_0.007_830.out,MNIST,baseline,90,0.007,abc,30,1
MNIST_0.007_7828.out,MNIST,prune_0.85,90,0.007,abc,28,0
MNIST_0.008_8260.out,MNIST,prune_0.9,30,0.008,abc,60,0
MNIST_0.007_5017.out,MNIST,prune_0.75,10,0.007,abc,17,1
MNIST_0.008_5524.out,MNIST,prune_0.75,60,0.008,abc,24,1
MNIST_0.006_5405.out,MNIST,prune_0.75,50,0.006,abc,5,1
MNIST_0.007_4315.out,MNIST,prune_0.7,40,0.007,abc,15,1
MNIST_0.006_395.out,MNIST,baseline,40,0.006,abc,95,1
MNIST_0.007_4789.out,MNIST,prune_0.7,80,0.007,abc,89,0
MNIST_0.006_4461.out,MNIST,prune_0.7,50,0.006,abc,61,1
MNIST_0.006_8967.out,MNIST,prune_0.9,100,0.006,abc,67,1
MNIST_0.006_7975.out,MNIST,prune_0.85,100,0.006,abc,75,1
MNIST_0.006_8979.out,MNIST,prune_0.9,100,0.006,abc,79,1
MNIST_0.008_1999.out,MNIST,prune_0.2,100,0.008,abc,99,0
MNIST_0.006_915.out,MNIST,baseline,100,0.006,abc,15,1
MNIST_0.008_1185.out,MNIST,prune_0.2,20,0.008,abc,85,1
MNIST_0.008_3063.out,MNIST,prune_0.6,10,0.008,abc,63,1
MNIST_0.008_6853.out,MNIST,prune_0.8,90,0.008,abc,53,0
MNIST_0.007_5734.out,MNIST,prune_0.75,80,0.007,abc,34,1
MNIST_0.007_663.out,MNIST,baseline,70,0.007,abc,63,1
MNIST_0.007_6647.out,MNIST,prune_0.8,70,0.007,abc,47,1
MNIST_0.007_5272.out,MNIST,prune_0.75,30,0.007,abc,72,1
MNIST_0.007_1600.out,MNIST,prune_0.2,70,0.007,abc,0,1
MNIST_0.008_8909.out,MNIST,prune_0.9,100,0.008,abc,9,0
MNIST_0.006_2128.out,MNIST,prune_0.4,20,0.006,abc,28,1
MNIST_0.007_2994.out,MNIST,prune_0.4,100,0.007,abc,94,0
MNIST_0.006_7954.out,MNIST,prune_0.85,100,0.006,abc,54,1
MNIST_0.007_4305.out,MNIST,prune_0.7,40,0.007,abc,5,1
MNIST_0.008_7203.out,MNIST,prune_0.85,30,0.008,abc,3,1
MNIST_0.006_625.out,MNIST,baseline,70,0.006,abc,25,1
MNIST_0.008_925.out,MNIST,baseline,100,0.008,abc,25,0
MNIST_0.007_3165.out,MNIST,prune_0.6,20,0.007,abc,65,1
MNIST_0.006_7392.out,MNIST,prune_0.85,40,0.006,abc,92,0
MNIST_0.007_7406.out,MNIST,prune_0.85,50,0.007,abc,6,1
MNIST_0.007_2905.out,MNIST,prune_0.4,100,0.007,abc,5,1
MNIST_0.008_1198.out,MNIST,prune_0.2,20,0.008,abc,98,0
MNIST_0.007_1451.out,MNIST,prune_0.2,50,0.007,abc,51,1
MNIST_0.007_4165.out,MNIST,prune_0.7,20,0.007,abc,65,0
MNIST_0.007_554.out,MNIST,baseline,60,0.007,abc,54,1
MNIST_0.007_3236.out,MNIST,prune_0.6,30,0.007,abc,36,1
MNIST_0.007_6803.out,MNIST,prune_0.8,90,0.007,abc,3,0
MNIST_0.008_2397.out,MNIST,prune_0.4,40,0.008,abc,97,0
MNIST_0.007_6637.out,MNIST,prune_0.8,70,0.007,abc,37,0
MNIST_0.006_1317.out,MNIST,prune_0.2,40,0.006,abc,17,1
MNIST_0.006_7142.out,MNIST,prune_0.85,20,0.006,abc,42,1
MNIST_0.008_12.out,MNIST,baseline,10,0.008,abc,12,1
MNIST_0.008_3033.out,MNIST,prune_0.6,10,0.008,abc,33,0
MNIST_0.006_5340.out,MNIST,prune_0.75,40,0.006,abc,40,1
MNIST_0.008_4217.out,MNIST,prune_0.7,30,0.008,abc,17,1
MNIST_0.006_3092.out,MNIST,prune_0.6,10,0.006,abc,92,1
MNIST_0.007_3134.out,MNIST,prune_0.6,20,0.007,abc,34,1
MNIST_0.008_7442.out,MNIST,prune_0.85,50,0.008,abc,42,0
MNIST_0.008_2676.out,MNIST,prune_0.4,70,0.008,abc,76,0
MNIST_0.008_4120.out,MNIST,prune_0.7,20,0.008,abc,20,0
MNIST_0.008_6418.out,MNIST,prune_0.8,50,0.008,abc,18,0
MNIST_0.007_8624.out,MNIST,prune_0.9,70,0.007,abc,24,0
MNIST_0.006_5344.out,MNIST,prune_0.75,40,0.006,abc,44,1
MNIST_0.008_8323.out,MNIST,prune_0.9,40,0.008,abc,23,0
MNIST_0.008_7697.out,MNIST,prune_0.85,70,0.008,abc,97,0
MNIST_0.008_5201.out,MNIST,prune_0.75,30,0.008,abc,1,1
MNIST_0.008_5051.out,MNIST,prune_0.75,10,0.008,abc,51,0
MNIST_0.007_5252.out,MNIST,prune_0.75,30,0.007,abc,52,1
MNIST_0.006_6411.out,MNIST,prune_0.8,50,0.006,abc,11,1
MNIST_0.007_4546.out,MNIST,prune_0.7,60,0.007,abc,46,1
MNIST_0.008_397.out,MNIST,baseline,40,0.008,abc,97,0
MNIST_0.006_8494.out,MNIST,prune_0.9,50,0.006,abc,94,0
MNIST_0.008_6734.out,MNIST,prune_0.8,80,0.008,abc,34,0
MNIST_0.006_2097.out,MNIST,prune_0.4,10,0.006,abc,97,1
MNIST_0.007_8524.out,MNIST,prune_0.9,60,0.007,abc,24,1
MNIST_0.008_6152.out,MNIST,prune_0.8,20,0.008,abc,52,0
MNIST_0.008_8920.out,MNIST,prune_0.9,100,0.008,abc,20,0
MNIST_0.006_693.out,MNIST,baseline,70,0.006,abc,93,1
MNIST_0.008_6268.out,MNIST,prune_0.8,30,0.008,abc,68,0
MNIST_0.006_4732.out,MNIST,prune_0.7,80,0.006,abc,32,1
MNIST_0.007_1385.out,MNIST,prune_0.2,40,0.007,abc,85,1
MNIST_0.006_8183.out,MNIST,prune_0.9,20,0.006,abc,83,1
MNIST_0.007_2502.out,MNIST,prune_0.4,60,0.007,abc,2,1
MNIST_0.007_2894.out,MNIST,prune_0.4,90,0.007,abc,94,0
MNIST_0.006_1463.out,MNIST,prune_0.2,50,0.006,abc,63,1
MNIST_0.007_5113.out,MNIST,prune_0.75,20,0.007,abc,13,1
MNIST_0.006_6961.out,MNIST,prune_0.8,100,0.006,abc,61,1
MNIST_0.008_8457.out,MNIST,prune_0.9,50,0.008,abc,57,0
MNIST_0.006_8765.out,MNIST,prune_0.9,80,0.006,abc,65,0
MNIST_0.007_87.out,MNIST,baseline,10,0.007,abc,87,0
MNIST_0.007_5687.out,MNIST,prune_0.75,70,0.007,abc,87,0
MNIST_0.007_5333.out,MNIST,prune_0.75,40,0.007,abc,33,0
MNIST_0.008_2406.out,MNIST,prune_0.4,50,0.008,abc,6,1
MNIST_0.006_4347.out,MNIST,prune_0.7,40,0.006,abc,47,1
MNIST_0.006_6466.out,MNIST,prune_0.8,50,0.006,abc,66,1
MNIST_0.007_7917.out,MNIST,prune_0.85,100,0.007,abc,17,0
MNIST_0.008_6062.out,MNIST,prune_0.8,10,0.008,abc,62,0
MNIST_0.008_6097.out,MNIST,prune_0.8,10,0.008,abc,97,0
MNIST_0.006_7259.out,MNIST,prune_0.85,30,0.006,abc,59,1
MNIST_0.007_5443.out,MNIST,prune_0.75,50,0.007,abc,43,0
MNIST_0.008_6807.out,MNIST,prune_0.8,90,0.008,abc,7,0
MNIST_0.007_7841.out,MNIST,prune_0.85,90,0.007,abc,41,0
MNIST_0.006_6149.out,MNIST,prune_0.8,20,0.006,abc,49,1
MNIST_0.007_2868.out,MNIST,prune_0.4,90,0.007,abc,68,1
MNIST_0.007_2536.out,MNIST,prune_0.4,60,0.007,abc,36,1
