dataset,model_type,epsilon,result,std
MNIST,baseline,0.006,924,5.3582750126426975
MNIST,prune_0.2,0.006,941,4.306326095924977
MNIST,prune_0.4,0.006,950,3.162277660168376
MNIST,prune_0.6,0.006,936,3.806427312965387
MNIST,prune_0.7,0.006,908,6.088240030309801
MNIST,prune_0.75,0.006,900,5.2493385826745405
MNIST,prune_0.8,0.006,790,12.156388352540315
MNIST,prune_0.85,0.006,726,14.592235378218557
MNIST,prune_0.9,0.006,629,13.502674632169072
MNIST,baseline,0.007,786,14.721111069179225
MNIST,prune_0.2,0.007,815,9.732534213770956
MNIST,prune_0.4,0.007,853,9.764447984624855
MNIST,prune_0.6,0.007,815,10.885770528538616
MNIST,prune_0.7,0.007,722,18.048083924154756
MNIST,prune_0.75,0.007,706,16.674664747587713
MNIST,prune_0.8,0.007,518,23.049704746241083
MNIST,prune_0.85,0.007,438,20.7300104518385
MNIST,prune_0.9,0.007,301,14.01150321065596
MNIST,baseline,0.008,531,22.810572597421185
MNIST,prune_0.2,0.008,527,19.07907521634922
MNIST,prune_0.4,0.008,634,17.082804869874924
MNIST,prune_0.6,0.008,563,18.499549544065477
MNIST,prune_0.7,0.008,377,24.51326171687481
MNIST,prune_0.75,0.008,246,13.704824778968254
MNIST,prune_0.8,0.008,140,12.622730819174327
MNIST,prune_0.85,0.008,112,12.576874722194612
MNIST,prune_0.9,0.008,48,6.178816859057871
