dataset,model_type,seed,epsilon,result
MNIST,baseline,10,0.006,96
MNIST,baseline,100,0.006,81
MNIST,baseline,20,0.006,98
MNIST,baseline,30,0.006,94
MNIST,baseline,40,0.006,90
MNIST,baseline,50,0.006,94
MNIST,baseline,60,0.006,97
MNIST,baseline,70,0.006,89
MNIST,baseline,80,0.006,97
MNIST,baseline,90,0.006,88
MNIST,prune_0.2,10,0.006,92
MNIST,prune_0.2,100,0.006,88
MNIST,prune_0.2,20,0.006,94
MNIST,prune_0.2,30,0.006,100
MNIST,prune_0.2,40,0.006,92
MNIST,prune_0.2,50,0.006,93
MNIST,prune_0.2,60,0.006,98
MNIST,prune_0.2,70,0.006,97
MNIST,prune_0.2,80,0.006,88
MNIST,prune_0.2,90,0.006,99
MNIST,prune_0.4,10,0.006,94
MNIST,prune_0.4,100,0.006,92
MNIST,prune_0.4,20,0.006,98
MNIST,prune_0.4,30,0.006,98
MNIST,prune_0.4,40,0.006,96
MNIST,prune_0.4,50,0.006,94
MNIST,prune_0.4,60,0.006,99
MNIST,prune_0.4,70,0.006,89
MNIST,prune_0.4,80,0.006,93
MNIST,prune_0.4,90,0.006,97
MNIST,prune_0.6,10,0.006,97
MNIST,prune_0.6,100,0.006,90
MNIST,prune_0.6,20,0.006,97
MNIST,prune_0.6,30,0.006,98
MNIST,prune_0.6,40,0.006,94
MNIST,prune_0.6,50,0.006,93
MNIST,prune_0.6,60,0.006,98
MNIST,prune_0.6,70,0.006,92
MNIST,prune_0.6,80,0.006,88
MNIST,prune_0.6,90,0.006,89
MNIST,prune_0.7,10,0.006,91
MNIST,prune_0.7,100,0.006,87
MNIST,prune_0.7,20,0.006,96
MNIST,prune_0.7,30,0.006,98
MNIST,prune_0.7,40,0.006,92
MNIST,prune_0.7,50,0.006,92
MNIST,prune_0.7,60,0.006,97
MNIST,prune_0.7,70,0.006,90
MNIST,prune_0.7,80,0.006,77
MNIST,prune_0.7,90,0.006,88
MNIST,prune_0.75,10,0.006,89
MNIST,prune_0.75,100,0.006,85
MNIST,prune_0.75,20,0.006,93
MNIST,prune_0.75,30,0.006,97
MNIST,prune_0.75,40,0.006,87
MNIST,prune_0.75,50,0.006,95
MNIST,prune_0.75,60,0.006,98
MNIST,prune_0.75,70,0.006,85
MNIST,prune_0.75,80,0.006,86
MNIST,prune_0.75,90,0.006,85
MNIST,prune_0.8,10,0.006,82
MNIST,prune_0.8,100,0.006,67
MNIST,prune_0.8,20,0.006,68
MNIST,prune_0.8,30,0.006,96
MNIST,prune_0.8,40,0.006,80
MNIST,prune_0.8,50,0.006,88
MNIST,prune_0.8,60,0.006,95
MNIST,prune_0.8,70,0.006,81
MNIST,prune_0.8,80,0.006,74
MNIST,prune_0.8,90,0.006,59
MNIST,prune_0.85,10,0.006,67
MNIST,prune_0.85,100,0.006,56
MNIST,prune_0.85,20,0.006,84
MNIST,prune_0.85,30,0.006,86
MNIST,prune_0.85,40,0.006,71
MNIST,prune_0.85,50,0.006,85
MNIST,prune_0.85,60,0.006,89
MNIST,prune_0.85,70,0.006,80
MNIST,prune_0.85,80,0.006,46
MNIST,prune_0.85,90,0.006,62
MNIST,prune_0.9,10,0.006,75
MNIST,prune_0.9,100,0.006,66
MNIST,prune_0.9,20,0.006,57
MNIST,prune_0.9,30,0.006,73
MNIST,prune_0.9,40,0.006,43
MNIST,prune_0.9,50,0.006,44
MNIST,prune_0.9,60,0.006,78
MNIST,prune_0.9,70,0.006,70
MNIST,prune_0.9,80,0.006,74
MNIST,prune_0.9,90,0.006,49
MNIST,baseline,10,0.007,90
MNIST,baseline,100,0.007,57
MNIST,baseline,20,0.007,94
MNIST,baseline,30,0.007,78
MNIST,baseline,40,0.007,73
MNIST,baseline,50,0.007,87
MNIST,baseline,60,0.007,93
MNIST,baseline,70,0.007,53
MNIST,baseline,80,0.007,89
MNIST,baseline,90,0.007,72
MNIST,prune_0.2,10,0.007,78
MNIST,prune_0.2,100,0.007,65
MNIST,prune_0.2,20,0.007,80
